# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_biocube
# Exported by: KLUTZ
setting:	replacespawns 0
weapon_ttt_smokegrenade	513.066345 -341.315674 128.168427	-1.317 -1.505 -1.333
weapon_ttt_smokegrenade	1309.921509 -636.163757 128.166550	-1.353 -1.483 -1.377
weapon_ttt_smokegrenade	698.433472 -1327.778931 128.180832	-1.048 -1.541 -1.066
ttt_random_weapon	329.782043 -528.844849 129.218994	1.661 4.923 -93.088
ttt_random_weapon	534.804260 -340.364349 129.211594	1.745 4.927 -92.896
ttt_random_weapon	609.664429 -483.043884 849.213501	1.723 4.982 -92.945
ttt_random_weapon	1448.223999 -1256.545044 129.228455	1.554 4.916 -93.332
ttt_random_weapon	1261.255493 -1427.819580 129.232895	1.504 4.911 -93.448
ttt_random_weapon	1262.582886 -1317.632324 129.200867	1.865 4.929 -92.619
ttt_random_weapon	1324.479248 -1260.940308 129.112915	1.818 9.398 -91.538
ttt_random_weapon	72.078407 -1447.108765 129.217651	1.676 4.924 -93.053
ttt_random_weapon	68.736404 -885.328552 129.218552	1.666 4.923 -93.076
ttt_random_weapon	1328.245728 -1018.312500 129.213730	1.720 4.926 -92.952
ttt_random_weapon	1039.928101 -1318.093872 129.224182	1.602 4.919 -93.222
ttt_random_weapon	1325.367676 562.033691 52.319931	1.711 4.769 -92.973
ttt_random_weapon	1216.164307 1063.161987 52.304981	1.879 4.860 -92.587
ttt_random_weapon	1207.393311 1530.259399 65.538963	1.584 4.760 -93.264
ttt_random_weapon	1036.263428 1397.556396 42.769192	1.625 4.017 -91.784
ttt_random_weapon	566.161377 -84.305321 49.533760	1.643 4.764 -93.128
ttt_random_weapon	727.751465 114.791847 49.510845	1.902 4.782 -92.536
ttt_random_weapon	631.164063 -10.735087 1.219000	1.661 4.923 -93.088
ttt_random_weapon	406.142059 1581.000732 1.224548	1.598 4.919 -93.231
ttt_random_weapon	667.256653 94.875610 1.204313	1.827 4.929 -92.708
ttt_random_weapon	-85.804283 -697.659912 40.709095	1.512 4.912 -93.429
ttt_random_weapon	-1366.128174 -1447.532715 1.216715	1.687 4.924 -93.029
