# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_biocube
# Exported by: LOL 8===D PEEPEE
setting:	replacespawns 0
weapon_ttt_smokegrenade	513.066345 -341.315674 128.168427	358.683 358.495 358.667
weapon_ttt_smokegrenade	1309.921509 -636.163757 128.166550	358.647 358.517 358.623
weapon_ttt_smokegrenade	698.433472 -1327.778931 128.180832	358.952 358.459 358.934
ttt_random_grenade	54.204369 -961.367310 4.201782	-0.317 0.005 0.421
ttt_random_grenade	56.611065 -947.131714 4.179761	-0.093 0.001 -0.003
ttt_random_grenade	59.324703 -925.418030 4.200583	-0.284 0.005 0.361
ttt_random_grenade	937.775330 -70.477119 4.205158	-0.466 0.007 0.684
ttt_random_grenade	959.948303 -65.527939 4.169968	-0.086 0.000 -0.030
ttt_random_grenade	989.665039 -68.078178 4.201784	-0.315 0.005 0.417
ttt_random_grenade	556.334167 -450.498657 852.113037	-0.117 0.000 -0.067
ttt_random_weapon	329.782043 -528.844849 129.218994	1.661 4.923 266.912
ttt_random_weapon	534.804260 -340.364349 129.211594	1.745 4.927 267.104
ttt_random_weapon	609.664429 -483.043884 849.213501	1.723 4.982 267.055
ttt_random_weapon	1448.223999 -1256.545044 129.228455	1.554 4.916 266.668
ttt_random_weapon	1261.255493 -1427.819580 129.232895	1.504 4.911 266.552
ttt_random_weapon	1262.582886 -1317.632324 129.200867	1.865 4.929 267.381
ttt_random_weapon	1324.479248 -1260.940308 129.112915	1.818 9.398 268.462
ttt_random_weapon	72.078407 -1447.108765 129.217651	1.676 4.924 266.947
ttt_random_weapon	68.736404 -885.328552 129.218552	1.666 4.923 266.924
ttt_random_weapon	1328.245728 -1018.312500 129.213730	1.720 4.926 267.048
ttt_random_weapon	1039.928101 -1318.093872 129.224182	1.602 4.919 266.778
ttt_random_weapon	1325.367676 562.033691 52.319931	1.711 4.769 267.027
ttt_random_weapon	1216.164307 1063.161987 52.304981	1.879 4.860 267.413
ttt_random_weapon	1207.393311 1530.259399 65.538963	1.584 4.760 266.736
ttt_random_weapon	1036.263428 1397.556396 42.769192	1.625 4.017 268.216
