# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_clue_se
# Exported by: KLUTZ
setting:	replacespawns 0
ttt_random_grenade	-44.823280 599.360535 40.287487	1.631 -1.040 -0.322
ttt_random_grenade	-45.544067 576.117798 40.312256	1.344 -1.146 -0.262
ttt_random_grenade	-259.338531 281.523682 64.375465	1.439 -0.644 -0.040
ttt_random_grenade	-258.975433 348.302948 64.347313	1.947 -0.628 -0.054
ttt_random_grenade	-306.950012 -250.879990 0.360390	1.574 -0.553 0.123
ttt_random_grenade	471.861420 -668.640015 64.361038	1.699 -0.644 -0.047
ttt_random_grenade	449.122162 1174.681030 140.333694	-0.577 1.567 1.090
ttt_random_grenade	449.417480 1073.349365 140.364349	-0.363 0.710 1.537
ttt_random_weapon	175.000000 -190.000000 13.000000	0.000 0.000 0.000
ttt_random_weapon	175.000000 -162.000000 13.000000	0.000 0.000 0.000
ttt_random_weapon	242.395004 231.225998 390.975006	0.000 0.000 0.000
ttt_random_weapon	242.395004 203.225998 390.975006	0.000 0.000 0.000
ttt_random_weapon	681.692993 814.801025 369.372986	0.000 0.000 0.000
ttt_random_weapon	681.692993 786.801025 369.372986	0.000 0.000 0.000
ttt_random_weapon	-385.765991 469.088989 209.373001	0.000 0.000 0.000
ttt_random_weapon	-385.765991 441.088989 209.373001	0.000 0.000 0.000
ttt_random_weapon	-87.849403 196.052002 210.373001	0.000 0.000 0.000
ttt_random_weapon	-87.849403 168.052002 210.373001	0.000 0.000 0.000
ttt_random_weapon	-356.937988 783.065979 209.373001	0.000 0.000 0.000
ttt_random_weapon	-356.937988 755.065979 209.373001	0.000 0.000 0.000
ttt_random_weapon	-124.075996 -264.279999 9.372910	0.000 0.000 0.000
ttt_random_weapon	-124.075996 -292.279999 9.372910	0.000 0.000 0.000
ttt_random_weapon	582.625977 -564.916016 9.372910	0.000 0.000 0.000
ttt_random_weapon	582.625977 -592.916016 9.372910	0.000 0.000 0.000
ttt_random_weapon	713.625000 90.070702 9.372910	0.000 0.000 0.000
ttt_random_weapon	713.625000 62.070702 9.372910	0.000 0.000 0.000
ttt_random_weapon	632.208008 250.416000 9.372910	0.000 0.000 0.000
