# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_forest_final
# Exported by: LOL 8===D PEEPEE
setting:	replacespawns 0
ttt_random_weapon_small	-1044.365479 3207.978027 16.639500	11.394 -24.876 104.416
ttt_random_weapon_small	299.568512 3058.758057 16.639488	11.394 -24.876 104.416
ttt_random_weapon_small	206.393066 3020.832520 16.620356	11.502 -25.162 104.613
ttt_random_weapon_small	200.394073 3071.052490 16.619469	11.507 -25.161 104.622
ttt_random_weapon_small	2062.298096 2254.128906 -5.454572	11.302 -80.564 102.559
ttt_random_weapon_small	2044.477905 1025.129639 22.043434	-6.539 -23.491 112.315
ttt_random_weapon_small	2053.584961 994.365967 25.446005	-6.315 -28.767 114.229
ttt_random_weapon_small	2078.061035 1074.741333 0.639498	11.394 -57.975 104.416
ttt_random_weapon_small	-132.262009 -1435.056274 280.597046	11.638 -25.129 104.786
ttt_random_weapon_small	-237.219788 -415.004944 -17.149513	-28.722 -7.758 18.590
ttt_random_weapon_small	-267.070526 -239.894806 -63.423092	-5.234 -159.074 -165.684
ttt_random_weapon_small	-1260.494995 417.326660 -58.841446	-29.083 128.494 -29.425
ttt_random_weapon_small	764.620544 922.203857 -61.811634	-11.389 -179.992 -75.527
ttt_random_weapon_small	-897.313171 -1004.220825 16.639488	11.394 -24.216 104.416
ttt_random_weapon_small	-888.999268 -987.603760 16.638744	11.504 91.254 103.395
ttt_random_weapon_small	-891.981506 -948.425110 18.077023	-11.243 -63.357 -76.652
ttt_random_weapon_small	2145.084473 1962.667969 384.639496	11.394 -24.876 104.416
ttt_random_weapon	-864.000000 1952.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	-1129.229980 1630.219971 47.813202	0.000 0.000 0.000
ttt_random_weapon	-1344.219971 1344.349976 16.586100	0.000 0.000 0.000
ttt_random_weapon	-1103.910034 632.291992 22.506701	0.000 0.000 0.000
ttt_random_weapon	9.087400 244.526001 16.845800	0.000 0.000 0.000
ttt_random_weapon	371.748993 678.982971 9.372920	0.000 0.000 0.000
ttt_random_weapon	2502.040039 428.152008 9.372890	0.000 0.000 0.000
ttt_random_weapon	2531.429932 996.499023 9.372890	0.000 0.000 0.000
ttt_random_weapon	1500.780029 779.783020 10.052600	0.000 0.000 0.000
ttt_random_weapon	112.757004 -695.656006 9.191220	0.000 0.000 0.000
ttt_random_weapon	21.836901 -976.385986 9.084850	0.000 0.000 0.000
ttt_random_weapon	-1297.709961 -92.888298 29.633301	0.000 0.000 0.000
ttt_random_weapon	511.328003 3346.199951 20.259701	0.000 0.000 0.000
ttt_random_weapon	-3.567260 3343.459961 26.498699	0.000 0.000 0.000
ttt_random_weapon	-1425.680054 3220.590088 25.372900	0.000 0.000 0.000
ttt_random_weapon	-701.661987 457.179993 20.372801	0.000 0.000 0.000
