# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_richland
# Exported by: LOL 8===D PEEPEE
setting:	replacespawns 0
ttt_random_weapon_small	970.172363 1663.465698 252.831940	12.157 -81.122 104.881
ttt_random_weapon_small	579.370361 -2.423297 308.584229	11.624 32.563 104.363
ttt_random_weapon_small	-678.296143 0.843215 308.526855	11.712 32.783 104.380
ttt_random_weapon_small	617.147888 -535.219360 310.081116	-11.496 -26.187 -76.418
ttt_random_weapon_small	633.253357 -535.819519 310.143799	-11.460 -26.477 -75.932
ttt_random_weapon_small	-640.071777 -528.294983 310.178375	-11.149 -25.034 -75.430
ttt_random_weapon_small	-622.352051 -525.842590 310.072845	-11.399 -26.773 -76.565
ttt_random_weapon_small	-362.645142 1561.591064 -61.867558	-11.057 -27.726 -76.327
ttt_random_weapon_small	-382.238251 1560.124146 -61.880901	-11.020 -22.475 -76.469
ttt_random_weapon_small	-750.554504 132.875214 84.611519	11.724 37.703 104.240
ttt_random_weapon_small	-695.229919 24.762085 86.146935	-11.868 43.038 -75.563
ttt_random_weapon_small	-751.071472 -126.148819 22.091825	-11.471 -25.705 -76.347
ttt_random_weapon_small	-658.310425 -22.105608 84.475777	-4.658 30.534 -176.696
ttt_random_weapon_small	-593.929138 -37.501125 22.170389	-10.929 -27.106 -75.271
ttt_random_weapon_small	-495.203430 -127.139061 22.107721	-11.325 -26.340 -76.327
ttt_random_weapon_small	-537.659241 126.293961 22.065639	-11.398 -26.550 -76.626
ttt_random_weapon_small	-587.037048 19.566786 84.565910	11.379 11.540 105.032
ttt_random_weapon_small	527.198242 138.068680 84.429787	-4.289 30.110 -177.986
ttt_random_weapon_small	564.403198 28.016392 84.457947	-4.504 29.150 -177.127
ttt_random_weapon_small	467.626740 -19.373816 86.169373	-11.249 3.954 -75.569
ttt_random_weapon_small	509.741119 -128.689667 22.110491	-11.397 -26.249 -76.247
ttt_random_weapon_small	541.739441 -127.901810 22.090609	-11.398 -26.656 -76.415
ttt_random_weapon_small	758.500244 -132.905365 84.563820	5.642 -19.393 138.005
ttt_random_weapon_small	790.349854 -32.385994 22.124424	-11.397 -26.506 -76.128
ttt_random_weapon_small	751.269470 126.524712 22.061586	-11.401 -26.132 -76.659
ttt_random_weapon_small	690.861023 28.504919 86.174271	-11.527 2.157 -75.215
ttt_random_weapon_small	907.676819 219.812576 178.157379	-10.873 -24.578 -75.429
ttt_random_weapon_small	931.335449 226.849258 178.148941	-10.736 -24.906 -75.393
ttt_random_weapon_small	-573.158325 388.400543 224.101089	-11.736 -22.054 -76.054
ttt_random_weapon_small	-591.102356 382.901581 224.099777	-11.743 -19.671 -76.046
ttt_random_weapon_small	-681.251343 -389.074249 224.175720	-11.078 -23.811 -75.380
ttt_random_weapon_small	-663.275757 -387.477966 224.084122	-11.307 -26.327 -76.541
ttt_random_weapon_small	522.545715 -232.738815 233.192352	-11.327 -21.128 -75.421
ttt_random_weapon_small	524.065613 -275.895844 233.147675	-11.895 -13.029 -75.520
ttt_random_weapon_small	520.033264 -326.254181 233.146530	-11.005 -47.017 -76.248
ttt_random_weapon_small	520.596252 -340.549683 233.133820	-10.915 -31.997 -76.426
ttt_random_weapon_small	-509.081512 -116.862259 60.106804	-11.565 -13.834 -75.792
ttt_random_weapon_small	140.446411 -1025.492432 34.291721	-11.821 -30.446 -76.063
ttt_random_weapon_small	140.461578 -1036.886597 34.327415	-11.662 -26.355 -75.886
ttt_random_weapon_small	556.067871 1491.422607 19.193375	-11.301 -22.046 -75.368
ttt_random_weapon_small	559.319885 1502.553345 19.111029	-12.125 -23.087 -75.856
ttt_random_weapon	-628.281860 82.586403 231.248032	1.332 34.175 -93.841
ttt_random_weapon	-643.219299 -106.569450 231.761169	-2.356 20.241 85.918
ttt_random_weapon	614.229065 -107.057755 231.761673	-2.357 47.003 85.926
ttt_random_weapon	633.813232 95.560913 231.718277	-2.339 93.632 85.337
ttt_random_weapon	-33.220127 1808.959351 125.720070	-1.918 25.792 85.028
ttt_random_weapon	-615.957947 100.650642 511.324982	25.741 0.886 -92.334
ttt_random_weapon	672.735962 109.194214 498.009338	18.244 -35.985 72.895
ttt_random_weapon	-1145.345459 -1206.255371 281.687775	-2.180 12.415 84.818
ttt_random_weapon	-800.082092 28.789923 59.678749	-1.803 26.511 85.316
ttt_random_weapon	-335.123444 -219.148468 177.713455	-1.801 25.097 84.650
ttt_random_weapon	516.891907 97.560150 17.239515	1.429 6.370 -93.619
ttt_random_weapon	448.843414 -32.322830 59.130287	1.543 6.474 -92.077
ttt_random_weapon	-495.605438 264.745453 17.160650	1.489 -55.039 -92.531
ttt_random_weapon	-843.583984 -292.940369 177.189682	1.407 5.347 -93.000
ttt_random_weapon	0.022997 318.727112 -126.755280	1.298 3.381 -93.837
ttt_random_weapon	625.381653 526.735901 309.724487	-2.354 9.129 86.325
ttt_random_weapon	-632.100342 531.889771 309.725220	-2.406 9.049 87.088
ttt_random_weapon	-609.964417 -59.924644 569.709900	-2.425 66.694 85.329
ttt_random_weapon	617.577026 -54.376038 569.767822	-2.489 32.152 86.777
ttt_random_weapon	8.654921 50.318630 -126.317474	-2.213 47.151 84.726
ttt_random_weapon	-24.190681 51.513256 -126.796127	1.411 17.311 -93.178
ttt_random_weapon	-660.876831 1884.242432 61.142216	-22.538 17.944 111.369
ttt_random_weapon	1211.020630 1734.665894 27.038401	-3.660 -7.854 -97.235
ttt_random_weapon	1323.953613 -1459.145386 72.247200	1.304 -6.866 -94.050
ttt_random_weapon	-1053.842896 1619.149170 41.264324	1.443 4.592 -94.480
ttt_random_weapon	-559.275940 1966.892334 225.243896	1.194 5.573 -94.862
